,train_min_loss,train_min_acc,train_min_epoch,val_min_loss,val_min_acc,val_min_epoch,test_loss,test_acc,test_epoch,test_seed,test_type,model
0,0.0006123374338318987,1.0,11,0.00047435549360950693,1.0,11,0.0006221469620724082,1.0,11,33,configuration,mobilenet-saycam(S)
1,0.0004756241516337593,1.0,11,0.0005899038128868247,1.0,10,0.0007387418980735154,1.0,10,34,configuration,mobilenet-saycam(S)
2,0.0004981815861262068,1.0,13,0.0005858361025905021,1.0,12,0.000824543988456421,1.0,12,35,configuration,mobilenet-saycam(S)
3,0.0003873819164098301,1.0,10,0.0003922058813958966,1.0,10,0.0007141587347654248,1.0,10,36,configuration,mobilenet-saycam(S)
4,0.0005482617530576355,1.0,11,0.0004973433958814264,1.0,11,0.0005695816909128408,1.0,11,37,configuration,mobilenet-saycam(S)
5,0.00040695464503156034,1.0,10,0.00042848743564368656,1.0,10,0.0005140676135014805,1.0,10,33,configuration,mobilenet-imagenet
6,0.0003514169601313087,1.0,10,0.00044060155750440364,1.0,10,0.0004107141711366629,1.0,10,34,configuration,mobilenet-imagenet
7,0.0005542269662892695,1.0,11,0.0005123078181685952,1.0,11,0.0009205996548333797,1.0,11,35,configuration,mobilenet-imagenet
8,0.00025369289940123244,1.0,12,0.00033742650731045823,1.0,12,0.0006475509796603417,1.0,12,36,configuration,mobilenet-imagenet
9,0.0003716798782675298,1.0,10,0.00041617067948279256,1.0,10,0.00046130936361950015,1.0,10,37,configuration,mobilenet-imagenet
10,1.098675080414476,0.33936306204775285,8,1.0913494275166438,0.40000000022924864,3,1.091361333453466,0.3998015873015873,3,33,configuration,mobilenet-random
11,1.098504517098953,0.3363640445830493,6,1.090075460764078,0.40000000022924864,6,1.0900839340119135,0.4000496031746032,6,34,configuration,mobilenet-random
12,1.0987322700434718,0.33466314871249525,4,1.0960787809812105,0.40000000022924864,3,1.0960848066541884,0.3998015873015873,3,35,configuration,mobilenet-random
13,1.0987059617864674,0.3412131825140838,2,1.094422487112192,0.40000000022924864,1,1.0944276366915022,0.3998015873015873,1,36,configuration,mobilenet-random
14,1.098737739283463,0.33644724059207687,1,1.0953037968048682,0.40000000022924864,1,1.095314690044948,0.3998015873015873,1,37,configuration,mobilenet-random
15,0.00016423607734521222,1.0,12,0.00020590875087341724,1.0,12,0.0001452522044149061,1.0,12,33,configuration,resnext-saycam(S)
16,0.0001727829773918874,1.0,12,0.00016276404970155383,1.0,12,0.00022837910096097316,1.0,12,34,configuration,resnext-saycam(S)
17,0.0002275973072065771,1.0,11,0.00023698444923726268,1.0,11,0.00028540721807133643,1.0,11,35,configuration,resnext-saycam(S)
18,0.00022534510803936804,1.0,11,0.0002085038353330814,1.0,11,0.0003236776699937071,1.0,11,36,configuration,resnext-saycam(S)
19,0.0002025791414027857,1.0,11,0.00023965461626245926,1.0,11,0.0001840351654368172,1.0,11,37,configuration,resnext-saycam(S)
20,0.0004698336836962222,1.0,11,0.0006590392597270414,1.0,11,0.0007591293919147806,1.0,11,33,configuration,resnext-imagenet
21,0.00032306262315175664,1.0,10,0.00031095629730351415,1.0,10,0.0004981646385521532,1.0,10,34,configuration,resnext-imagenet
22,0.00033088177054917746,1.0,12,0.0003416374971633419,1.0,12,0.0006088065816180056,1.0,12,35,configuration,resnext-imagenet
23,0.0003989165543943868,1.0,12,0.00042711765294930397,1.0,12,0.0007939139348251508,1.0,12,36,configuration,resnext-imagenet
24,0.0002489069140900593,1.0,13,0.00029594243404482346,1.0,13,0.00039538326353298517,1.0,13,37,configuration,resnext-imagenet
25,0.7716409633385723,0.6680625106753975,29,0.7624216996706449,0.6969150648667262,25,0.7618020063354856,0.671875,25,33,configuration,resnext-random
26,0.7537613061481508,0.679935767475901,32,0.7449285181669089,0.6757211547631484,27,0.7491240520325918,0.6733630952380952,27,34,configuration,resnext-random
27,0.7836097024124244,0.6580274891236733,25,0.7736804141448095,0.6779380349012522,22,0.7707290214205545,0.6750992063492064,22,35,configuration,resnext-random
28,0.8021559653611019,0.6432608604944986,20,0.7991198003292084,0.654246795635957,16,0.8029148228584774,0.6587301587301587,16,36,configuration,resnext-random
29,0.7897974334914108,0.6575256719671446,24,0.7665811800039731,0.6926148510896243,23,0.7865866072594173,0.6636904761904762,23,37,configuration,resnext-random
30,0.0004626572885924894,1.0,11,0.0005649567028740421,1.0,11,0.0005981213600159482,1.0,11,33,configuration,resnext-saycam(S)-s
31,0.0004922507937565036,1.0,11,0.000542427362233866,1.0,11,0.0006719410566946618,1.0,11,34,configuration,resnext-saycam(S)-s
32,0.0005073386597234338,1.0,11,0.0006495313041691239,1.0,11,0.000505304894475211,1.0,11,35,configuration,resnext-saycam(S)-s
33,0.00037553700954519846,1.0,12,0.00033847089238966315,1.0,12,0.0006978844966873848,1.0,12,36,configuration,resnext-saycam(S)-s
34,0.0002289879016643681,1.0,14,0.00026834156541064236,1.0,14,0.00017116424602309487,1.0,14,37,configuration,resnext-saycam(S)-s
35,0.0004244245431217333,1.0,10,0.0003782968107351245,1.0,10,0.0005120108464960516,1.0,10,33,configuration,resnext-saycam(S)-h
36,0.00040960257470503385,1.0,11,0.0004086114086721164,1.0,11,0.0008249854618043173,1.0,11,34,configuration,resnext-saycam(S)-h
37,0.0004400919113887257,1.0,11,0.0005061905176262371,1.0,11,0.00038642350369223603,1.0,11,35,configuration,resnext-saycam(S)-h
38,0.0004106690865165578,1.0,11,0.00042140349418892024,1.0,11,0.00053097435542556,1.0,11,36,configuration,resnext-saycam(S)-h
39,0.00042850813842333396,1.0,10,0.00040585984522924543,1.0,10,0.0003602511789058409,1.0,10,37,configuration,resnext-saycam(S)-h
40,0.0004774472064786221,1.0,11,0.0005090107067819469,1.0,11,0.00041607112848035446,1.0,11,33,configuration,resnext-saycam(S)-v
41,0.0003834542906682553,1.0,13,0.0003249592647569863,1.0,13,0.0005292095591444411,1.0,13,34,configuration,resnext-saycam(S)-v
42,0.0002909520816784011,1.0,15,0.0004021912852924568,1.0,15,0.000539446289246645,1.0,15,35,configuration,resnext-saycam(S)-v
43,0.0002727721370759135,1.0,15,0.00035513096456550277,1.0,15,0.0005058645045441124,1.0,15,36,configuration,resnext-saycam(S)-v
44,0.0004884949769897001,1.0,11,0.00046715063721281837,1.0,11,0.0005272414340334575,1.0,11,37,configuration,resnext-saycam(S)-v
45,0.0005313664177233947,1.0,11,0.0005422427001086852,1.0,11,0.0005943945721983688,1.0,11,33,configuration,resnext-saycam(S)-hv
46,0.0004827305463487423,1.0,12,0.0004376546886095849,1.0,12,0.0008354478138951688,1.0,12,34,configuration,resnext-saycam(S)-hv
47,0.00039733683225394683,1.0,14,0.00048636843824239733,1.0,14,0.00048527903566407204,1.0,14,35,configuration,resnext-saycam(S)-hv
48,0.0003432695519473657,1.0,14,0.00037720438558608294,1.0,14,0.0005095143994352954,1.0,14,36,configuration,resnext-saycam(S)-hv
49,0.000391634226177522,1.0,14,0.00043732800147084234,1.0,14,0.0005717417970738588,1.0,14,37,configuration,resnext-saycam(S)-hv
50,0.00047361350911599183,1.0,16,0.0004910700965690642,1.0,16,0.0006301616024482803,1.0,16,33,configuration,resnext-DINO-S
51,0.00035495779380214336,1.0,18,0.00048029025268848415,1.0,18,0.0004481670925347966,1.0,18,34,configuration,resnext-DINO-S
52,0.0004957141584876306,1.0,17,0.0004981183335005951,1.0,17,0.0007730585532535481,1.0,17,35,configuration,resnext-DINO-S
53,0.00047379505467061195,1.0,15,0.0006340839150093066,1.0,15,0.0008973744354281937,1.0,15,36,configuration,resnext-DINO-S
54,0.0004431946241499551,1.0,17,0.0005644305537526424,1.0,17,0.0003972719299319636,1.0,17,37,configuration,resnext-DINO-S
55,0.0004704732388651384,1.0,17,0.0004571265274605069,1.0,17,0.0006892809103033321,1.0,17,33,configuration,resnext-DINO-ImageNet
56,0.00064725805268922,1.0,14,0.0007318959844549402,1.0,14,0.0006867322397103259,1.0,14,34,configuration,resnext-DINO-ImageNet
57,0.0006296022323834317,1.0,14,0.0010336447045959246,1.0,14,0.0010120204099202676,1.0,14,35,configuration,resnext-DINO-ImageNet
58,0.0003962761791250347,1.0,17,0.0004571311857524471,1.0,17,0.000670829767928115,1.0,17,36,configuration,resnext-DINO-ImageNet
59,0.00045487904120316923,1.0,16,0.0005714173194764254,1.0,16,0.0005637788221758369,1.0,16,37,configuration,resnext-DINO-ImageNet
